userName,EmployeID,Department,redmine,doc portal,internal file sharing,FTP server,server,firewall,con file,Label
abc1,1,HR,1,1,0,0,0,0,0,0
abc2,2,HR,1,1,0,0,0,0,0,0
abc3,3,HR,1,1,0,0,0,0,0,0
abc4,4,HR,1,1,0,0,0,0,0,0
abc5,5,HR,1,1,0,0,0,0,0,0
abc6,6,HR,1,1,0,0,0,0,0,0
abc7,7,HR,1,1,0,0,0,0,0,0
abc8,8,HR,1,1,0,0,0,0,0,0
abc9,9,HR,1,1,0,0,0,0,0,0
abc10,10,HR,1,1,0,0,0,0,0,0
abc11,11,HR,1,1,0,0,0,0,0,0
abc12,12,HR,1,1,0,0,0,0,0,0
abc13,13,HR,1,1,0,0,0,0,0,0
abc14,14,HR,1,1,0,0,0,0,0,0
abc15,15,HR,1,1,0,0,0,0,0,0
abc16,16,HR,1,1,0,0,0,0,0,0
abc17,17,HR,1,1,0,0,0,0,0,0
abc18,18,HR,1,1,0,0,0,0,0,0
abc19,19,HR,1,1,0,0,0,0,0,0
abc20,20,HR,1,1,0,0,0,0,0,0
abc21,21,HR,1,1,0,0,0,0,0,0
abc22,22,HR,1,1,0,0,0,0,0,0
abc23,23,HR,1,1,0,0,0,0,0,0
abc24,24,HR,1,1,0,0,0,0,0,0
abc25,25,HR,1,1,0,0,0,0,0,0
abc26,26,HR,1,0,0,0,0,0,0,0
abc27,27,HR,1,0,0,0,0,0,0,0
abc28,28,HR,1,0,0,0,0,0,0,0
abc29,29,HR,1,0,0,0,0,0,0,0
abc30,30,HR,1,0,0,0,0,0,0,0
abc31,31,HR,1,0,0,0,0,0,0,0
abc32,32,HR,1,0,0,0,0,0,0,0
abc33,33,HR,1,0,0,0,0,0,0,0
abc34,34,HR,1,0,0,0,0,0,0,0
abc35,35,HR,1,0,0,0,0,0,0,0
abc36,36,HR,1,0,0,0,0,0,0,0
abc37,37,HR,1,0,0,0,0,0,0,0
abc38,38,HR,1,0,0,0,0,0,0,0
abc39,39,HR,1,0,0,0,0,0,0,0
abc40,40,HR,1,0,0,0,0,0,0,0
abc41,41,HR,1,0,0,0,0,0,0,0
abc42,42,HR,1,0,0,0,0,0,0,0
abc43,43,HR,1,0,0,0,0,0,0,0
abc44,44,HR,1,0,0,0,0,0,0,0
abc45,45,HR,1,0,0,0,0,0,0,0
abc46,46,HR,1,0,0,0,0,0,0,0
abc47,47,HR,1,0,0,0,0,0,0,0
abc48,48,HR,1,0,0,0,0,0,0,0
abc49,49,HR,0,1,0,0,0,0,0,0
abc50,50,HR,0,1,0,0,0,0,0,0
abc51,51,HR,0,1,0,0,0,0,0,0
abc52,52,HR,0,1,0,0,0,0,0,0
abc53,53,HR,0,1,0,0,0,0,0,0
abc54,54,HR,0,1,0,0,0,0,0,0
abc55,55,HR,0,1,0,0,0,0,0,0
abc56,56,HR,0,1,0,0,0,0,0,0
abc57,57,HR,0,1,0,0,0,0,0,0
abc58,58,HR,0,1,0,0,0,0,0,0
abc59,59,HR,0,1,0,0,0,0,0,0
abc60,60,HR,0,1,0,0,0,0,0,0
abc61,61,HR,0,1,0,0,0,0,0,0
abc62,62,HR,0,1,0,0,0,0,0,0
abc63,63,HR,0,1,0,0,0,0,0,0
abc64,64,HR,0,1,0,0,0,0,0,0
abc65,65,HR,0,1,0,0,0,0,0,0
abc66,66,HR,0,1,0,0,0,0,0,0
abc67,67,HR,0,1,0,0,0,0,0,0
abc68,68,HR,0,1,0,0,0,0,0,0
abc69,69,HR,0,1,0,0,0,0,0,0
abc70,70,HR,0,1,0,0,0,0,0,0
abc71,71,HR,0,1,0,0,0,0,0,0
abc72,72,HR,0,1,0,0,0,0,0,0
abc73,73,HR,0,0,1,1,1,1,1,1
abc74,74,HR,0,0,1,1,1,1,1,1
abc75,75,HR,0,0,1,1,1,1,1,1
abc76,76,HR,0,0,1,1,1,1,1,1
abc77,77,HR,0,0,1,1,1,1,1,1
abc78,78,HR,0,0,1,1,1,1,1,1
abc79,79,HR,0,0,1,1,1,1,1,1
abc80,80,HR,0,0,1,1,1,1,1,1
abc81,81,HR,0,0,1,1,1,1,1,1
abc82,82,HR,0,0,1,1,1,1,1,1
abc83,83,HR,0,0,1,1,1,1,1,1
abc84,84,HR,0,0,1,1,1,1,1,1
abc85,85,HR,0,0,1,1,1,1,1,1
abc86,86,HR,0,0,1,1,1,1,1,1
abc87,87,HR,0,0,1,1,1,1,1,1
abc88,88,HR,0,0,1,1,1,1,1,1
abc89,89,HR,0,0,1,1,1,1,1,1
abc90,90,HR,0,0,1,1,1,1,1,1
abc91,91,HR,0,0,1,1,1,1,1,1
abc92,92,HR,0,0,1,1,1,1,1,1
abc93,93,HR,0,0,1,1,1,1,1,1
abc94,94,HR,0,0,1,1,1,1,1,1
abc95,95,HR,0,0,1,1,1,1,1,1
abc96,96,HR,0,0,1,1,1,1,1,1
abc97,97,HR,0,0,1,1,1,1,1,1
abc98,98,HR,0,0,1,1,1,1,1,1
abc99,99,HR,0,0,0,1,1,1,1,1
abc100,100,HR,0,0,0,1,1,1,1,1
abc101,101,HR,0,0,0,1,1,1,1,1
abc102,102,HR,0,0,0,1,1,1,1,1
abc103,103,HR,0,0,0,1,1,1,1,1
abc104,104,HR,0,0,0,1,1,1,1,1
abc105,105,HR,0,0,0,1,1,1,1,1
abc106,106,HR,0,0,0,1,1,1,1,1
abc107,107,HR,0,0,0,1,1,1,1,1
abc108,108,HR,0,0,0,1,1,1,1,1
abc109,109,HR,0,0,0,1,1,1,1,1
abc110,110,HR,0,0,0,1,1,1,1,1
abc111,111,HR,0,0,0,1,1,1,1,1
abc112,112,HR,0,0,0,1,1,1,1,1
abc113,113,HR,0,0,0,1,1,1,1,1
abc114,114,HR,0,0,0,1,1,1,1,1
abc115,115,HR,0,0,0,1,1,1,1,1
abc116,116,HR,0,0,0,1,1,1,1,1
abc117,117,HR,0,0,0,0,1,1,1,1
abc118,118,HR,0,0,0,0,1,1,1,1
abc119,119,HR,0,0,0,0,1,1,1,1
abc120,120,HR,0,0,0,0,1,1,1,1
abc121,121,HR,0,0,0,0,1,1,1,1
abc122,122,HR,0,0,0,0,1,1,1,1
abc123,123,HR,0,0,0,0,1,1,1,1
abc124,124,HR,0,0,0,0,1,1,1,1
abc125,125,HR,0,0,0,0,1,1,1,1
abc126,126,HR,0,0,0,0,1,1,1,1
abc127,127,HR,0,0,0,0,1,1,1,1
abc128,128,HR,0,0,0,0,1,1,1,1
abc129,129,HR,0,0,0,0,1,1,1,1
abc130,130,HR,0,0,0,0,1,1,1,1
abc131,131,HR,0,0,0,0,1,1,1,1
abc132,132,HR,0,0,0,0,1,1,1,1
abc133,133,HR,0,0,0,0,1,1,1,1
abc134,134,HR,0,0,0,0,1,1,1,1
abc135,135,HR,0,0,0,0,1,1,1,1
abc136,136,HR,0,0,0,0,1,1,1,1
abc137,137,HR,0,0,0,0,1,1,1,1
abc138,138,HR,0,0,0,0,0,1,1,1
abc139,139,HR,0,0,0,0,0,1,1,1
abc140,140,HR,0,0,0,0,0,1,1,1
abc141,141,HR,0,0,0,0,0,1,1,1
abc142,142,HR,0,0,0,0,0,1,1,1
abc143,143,HR,0,0,0,0,0,1,1,1
abc144,144,HR,0,0,0,0,0,1,1,1
abc145,145,HR,0,0,0,0,0,1,1,1
abc146,146,HR,0,0,0,0,0,1,1,1
abc147,147,HR,0,0,0,0,0,1,1,1
abc148,148,HR,0,0,0,0,0,1,1,1
abc149,149,HR,0,0,0,0,0,1,1,1
abc150,150,HR,0,0,0,0,0,1,1,1
abc151,151,HR,0,0,0,0,0,1,1,1
abc152,152,HR,0,0,0,0,0,1,1,1
abc153,153,HR,0,0,0,0,0,1,1,1
abc154,154,HR,0,0,0,0,0,1,1,1
abc155,155,HR,0,0,0,0,0,1,1,1
abc156,156,HR,0,0,0,0,0,1,1,1
abc157,157,HR,0,0,0,0,0,1,1,1
abc158,158,HR,0,0,0,0,0,1,1,1
abc159,159,HR,0,0,0,0,0,1,1,1
abc160,160,HR,0,0,0,0,0,1,1,1
abc161,161,HR,0,0,0,0,0,1,1,1
abc162,162,HR,0,0,0,0,0,1,1,1
abc163,163,HR,0,0,0,0,0,1,1,1
abc164,164,HR,0,0,0,0,0,1,1,1
abc165,165,HR,0,0,0,0,0,1,1,1
abc166,166,HR,0,0,0,0,0,1,1,1
abc167,167,HR,0,0,0,0,0,1,1,1
abc168,168,HR,0,0,0,0,0,1,1,1
abc169,169,HR,0,0,0,0,0,0,1,1
abc170,170,HR,0,0,0,0,0,0,1,1
abc171,171,HR,0,0,0,0,0,0,1,1
abc172,172,HR,0,0,0,0,0,0,1,1
abc173,173,HR,0,0,0,0,0,0,1,1
abc174,174,HR,0,0,0,0,0,0,1,1
abc175,175,HR,0,0,0,0,0,0,1,1
abc176,176,HR,0,0,0,0,0,0,1,1
abc177,177,HR,0,0,0,0,0,0,1,1
abc178,178,HR,0,0,0,0,0,0,1,1
abc179,179,HR,0,0,0,0,0,0,1,1
abc180,180,HR,0,0,0,0,0,0,1,1
abc181,181,HR,0,0,0,0,0,0,1,1
abc182,182,HR,0,0,0,0,0,0,1,1
abc183,183,HR,0,0,0,0,0,0,1,1
abc184,184,HR,0,0,0,0,0,0,1,1
abc185,185,HR,0,0,0,0,0,0,1,1
abc186,186,HR,0,0,0,0,0,0,1,1
abc187,187,HR,0,0,0,0,0,0,1,1
abc188,188,HR,0,0,0,0,0,0,1,1
abc189,189,HR,0,0,0,0,0,0,1,1
abc190,190,HR,0,0,0,0,0,0,1,1
abc191,191,HR,0,0,0,0,0,0,1,1
abc192,192,HR,0,0,0,0,0,0,1,1
abc193,193,HR,0,0,0,0,0,0,1,1
abc194,194,HR,0,0,0,0,0,0,1,1
abc195,195,HR,0,0,0,0,0,0,1,1
abc196,196,HR,0,0,0,0,0,0,1,1
abc197,197,HR,0,0,0,0,0,0,1,1
abc198,198,HR,0,0,0,0,0,0,1,1
abc199,199,HR,0,0,0,0,0,0,1,1
abc200,200,HR,0,0,0,0,0,0,1,1
abc201,201,HR,0,0,0,0,0,0,1,1
abc202,202,HR,0,0,0,0,0,0,1,1
abc203,203,HR,0,0,0,0,0,0,1,1
abc204,204,HR,0,0,1,0,0,0,0,1
abc205,205,HR,0,0,1,0,0,0,0,1
abc206,206,HR,0,0,1,0,0,0,0,1
abc207,207,HR,0,0,1,0,0,0,0,1
abc208,208,HR,0,0,1,0,0,0,0,1
abc209,209,HR,0,0,1,0,0,0,0,1
abc210,210,HR,0,0,1,0,0,0,0,1
abc211,211,HR,0,0,1,0,0,0,0,1
abc212,212,HR,0,0,1,0,0,0,0,1
abc213,213,HR,0,0,1,0,0,0,0,1
abc214,214,HR,0,0,1,0,0,0,0,1
abc215,215,HR,0,0,1,0,0,0,0,1
abc216,216,HR,0,0,1,0,0,0,0,1
abc217,217,HR,0,0,1,0,0,0,0,1
abc218,218,HR,0,0,1,0,0,0,0,1
abc219,219,HR,0,0,1,0,0,0,0,1
abc220,220,HR,0,0,1,0,0,0,0,1
abc221,221,HR,0,0,1,0,0,0,0,1
abc222,222,HR,0,0,1,0,0,0,0,1
abc223,223,HR,0,0,1,0,0,0,0,1
abc224,224,HR,0,0,1,0,0,0,0,1
abc225,225,HR,0,0,1,0,0,0,0,1
abc226,226,HR,0,0,1,1,0,0,0,1
abc227,227,HR,0,0,1,1,0,0,0,1
abc228,228,HR,0,0,1,1,0,0,0,1
abc229,229,HR,0,0,1,1,0,0,0,1
abc230,230,HR,0,0,1,1,0,0,0,1
abc231,231,HR,0,0,1,1,0,0,0,1
abc232,232,HR,0,0,1,1,0,0,0,1
abc233,233,HR,0,0,1,1,0,0,0,1
abc234,234,HR,0,0,1,1,0,0,0,1
abc235,235,HR,0,0,1,1,0,0,0,1
abc236,236,HR,0,0,1,1,0,0,0,1
abc237,237,HR,0,0,1,1,0,0,0,1
